event_ticker,event_title,away_team,home_team,game_classification
KXNCAAMBGAME-26MAR06UCRVHAW,UC Riverside at Hawai'i,UC Riverside,Hawaii,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB17GWVCU,George Washington at VCU,George Washington,VCU,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB17SCARFLA,South Carolina at Florida,South Carolina,Florida,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB20BGSUMOH,Bowling Green at Miami (OH),Bowling Green,Miami (Ohio),mixed_one_mm_one_not
KXNCAAMBGAME-26JAN21ORSTSMC,Oregon St. at Saint Mary's,Oregon St.,Saint Mary's,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB28HAWCSF,Hawai'i at Cal State Fullerton,Hawaii,Cal State Fullerton,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB10VANAUB,Vanderbilt at Auburn,Vanderbilt,Auburn,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN20RUTGIOWA,Rutgers at Iowa,Rutgers,Iowa,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB28GCUSU,Grand Canyon at Utah St.,Grand Canyon,Utah St.,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN14UCFKSU,UCF at Kansas St.,UCF,Kansas St.,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN14VTSMU,Virginia Tech at SMU,Virginia Tech,SMU,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR08CHARUSF,Charlotte at South Florida,Charlotte,South Florida,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB07KSUTCU,Kansas St. at TCU,Kansas St.,TCU,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR12BUFFAKR,Buffalo at Akron,Buffalo,Akron,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR03USUUNLV,Utah St. at UNLV,Utah St.,UNLV,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB14SMCPAC,Saint Mary's at Pacific,Saint Mary's,Pacific,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN24OKLAMIZZ,Oklahoma at Missouri,Oklahoma,Missouri,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR13UTUCBU,Utah Tech at California Baptist,Utah Tech,Cal Baptist,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN21CINARIZ,Cincinnati at Arizona,Cincinnati,Arizona,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN10ARKAUB,Arkansas at Auburn,Arkansas,Auburn,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB11VTCLEM,Virginia Tech at Clemson,Virginia Tech,Clemson,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN06IOWAMINN,Iowa at Minnesota,Iowa,Minnesota,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR09NKUWRST,Northern Kentucky at Wright St.,Northern Kentucky,Wright St.,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN28UCLAORE,UCLA at Oregon,UCLA,Oregon,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN28STANMIA,Stanford at Miami (FL),Stanford,Miami (FL),mixed_one_mm_one_not
KXNCAAMBGAME-26MAR10KSUBYU,Kansas St. at BYU,Kansas St.,BYU,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN26PSUOSU,Penn St. at Ohio St.,Penn St.,Ohio St.,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN14VCUURI,VCU at Rhode Island,VCU,Rhode Island,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR02IDHOEWU,Idaho at Eastern Washington,Idaho,Eastern Washington,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN16BAYKU,Baylor at Kansas,Baylor,Kansas,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB14VILLCREI,Villanova at Creighton,Villanova,Creighton,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR07UGAMSST,Georgia at Mississippi St.,Georgia,Mississippi St.,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR13HALLSJU,Seton Hall at St. John's,Seton Hall,St. John's,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR08COLGLEH,Colgate at Lehigh,Colgate,Lehigh,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR10ALCNPV,Alcorn St. at Prairie View A&M,Alcorn St.,Prairie View A&M,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR06SJUHALL,St. John's at Seton Hall,St. John's,Seton Hall,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN11UCIHAW,UC Irvine at Hawai'i,UC Irvine,Hawaii,mixed_one_mm_one_not
