away_team,away_team_clean,close_time,determination_time,dollar_open_interest,dollar_volume,event_series_ticker,event_subtitle,event_ticker,event_title,expected_expiration_time,expiration_time,game,game_classification,game_clean,home_team,home_team_clean,last_price,market_id,market_source_type,no_ask,no_bid,no_subtitle,open_interest,open_time,opponent,opponent_clean,platform,result,round,settlement_time,status,team,team_clean,ticker,title,volume,yes_ask,yes_bid,yes_subtitle
Penn,Penn,2026-03-20T04:22:32Z,2026-03-20T04:22:35Z,1634613,2090101,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19PENNILL,Penn at Illinois,2026-03-19T20:00:00Z,,Penn vs Illinois,both_mm,Penn vs Illinois,Illinois,Illinois,0.99,a7b6ba1c-c00e-41b7-841d-58333ad4924c,game_winner,,,Illinois,3269226,2026-03-15T22:47:00Z,Penn,Penn,kalshi,yes,,2026-03-20T04:27:41Z,closed,Illinois,Illinois,KXNCAAMBGAME-26MAR19PENNILL-ILL,Penn at Illinois Winner?,4180202,,,Illinois
Penn,Penn,2026-03-20T04:22:32Z,2026-03-20T04:22:35Z,9441355,11873712,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19PENNILL,Penn at Illinois,2026-03-19T20:00:00Z,,Penn vs Illinois,both_mm,Penn vs Illinois,Illinois,Illinois,0.01,9cf82c0c-a951-4287-acab-379e334023fa,game_winner,,,Penn,18882710,2026-03-15T22:47:00Z,Illinois,Illinois,kalshi,no,,2026-03-20T04:27:41Z,closed,Penn,Penn,KXNCAAMBGAME-26MAR19PENNILL-PENN,Penn at Illinois Winner?,23747424,,,Penn
Saint Louis,Saint Louis,2026-03-20T04:22:55Z,2026-03-20T04:22:57Z,2798221,4960253,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19SLUUGA,Saint Louis at Georgia,2026-03-19T20:00:00Z,,Saint Louis vs Georgia,both_mm,Saint Louis vs Georgia,Georgia,Georgia,0.99,dfe2c409-7b84-4c40-a0b7-28ad08c7196e,game_winner,,,Saint Louis,5596442,2026-03-15T22:47:00Z,Georgia,Georgia,kalshi,yes,,2026-03-20T04:28:01Z,closed,Saint Louis,Saint Louis,KXNCAAMBGAME-26MAR19SLUUGA-SLU,Saint Louis at Georgia Winner?,9920506,,,Saint Louis
Saint Louis,Saint Louis,2026-03-20T04:22:55Z,2026-03-20T04:22:57Z,3954657,5462814,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19SLUUGA,Saint Louis at Georgia,2026-03-19T20:00:00Z,,Saint Louis vs Georgia,both_mm,Saint Louis vs Georgia,Georgia,Georgia,0.01,cf5de0a2-bfb8-4d49-9077-8994b4fe9af8,game_winner,,,Georgia,7909314,2026-03-15T22:47:00Z,Saint Louis,Saint Louis,kalshi,no,,2026-03-20T04:28:01Z,closed,Georgia,Georgia,KXNCAAMBGAME-26MAR19SLUUGA-UGA,Saint Louis at Georgia Winner?,10925628,,,Georgia
Idaho,Idaho,2026-03-20T04:23:35Z,2026-03-20T04:23:37Z,651172,762717,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19IDHOHOU,Idaho at Houston,2026-03-19T20:00:00Z,,Idaho vs Houston,both_mm,Idaho vs Houston,Houston,Houston,0.99,9274aebe-b836-4d09-85af-8ad5ebf6c0d0,game_winner,,,Houston,1302344,2026-03-15T22:47:00Z,Idaho,Idaho,kalshi,yes,,2026-03-20T04:28:41Z,closed,Houston,Houston,KXNCAAMBGAME-26MAR19IDHOHOU-HOU,Idaho at Houston Winner?,1525434,,,Houston
Idaho,Idaho,2026-03-20T04:23:35Z,2026-03-20T04:23:37Z,3423809,4088195,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19IDHOHOU,Idaho at Houston,2026-03-19T20:00:00Z,,Idaho vs Houston,both_mm,Idaho vs Houston,Houston,Houston,0.01,cad6eaa8-923f-42f5-a57b-122f20fca8ee,game_winner,,,Idaho,6847618,2026-03-15T22:47:00Z,Houston,Houston,kalshi,no,,2026-03-20T04:28:41Z,closed,Idaho,Idaho,KXNCAAMBGAME-26MAR19IDHOHOU-IDHO,Idaho at Houston Winner?,8176390,,,Idaho
Kennesaw St.,Kennesaw State,2026-03-20T04:40:44Z,2026-03-20T04:40:46Z,2494623,3626891,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19KENNGONZ,Kennesaw St. at Gonzaga,2026-03-19T20:00:00Z,,Kennesaw St. vs Gonzaga,both_mm,Kennesaw State vs Gonzaga,Gonzaga,Gonzaga,0.99,37bf3b24-ceb0-450d-896c-c99b25c48fd4,game_winner,,,Gonzaga,4989246,2026-03-15T22:47:00Z,Kennesaw St.,Kennesaw State,kalshi,yes,,2026-03-20T04:45:51Z,closed,Gonzaga,Gonzaga,KXNCAAMBGAME-26MAR19KENNGONZ-GONZ,Kennesaw St. at Gonzaga Winner?,7253782,,,Gonzaga
Kennesaw St.,Kennesaw State,2026-03-20T04:40:44Z,2026-03-20T04:40:46Z,6909596,10468633,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19KENNGONZ,Kennesaw St. at Gonzaga,2026-03-19T20:00:00Z,,Kennesaw St. vs Gonzaga,both_mm,Kennesaw State vs Gonzaga,Gonzaga,Gonzaga,0.01,1cd3cb30-434d-4a28-bccc-d9f772538317,game_winner,,,Kennesaw St.,13819192,2026-03-15T22:47:00Z,Gonzaga,Gonzaga,kalshi,no,,2026-03-20T04:45:51Z,closed,Kennesaw St.,Kennesaw State,KXNCAAMBGAME-26MAR19KENNGONZ-KENN,Kennesaw St. at Gonzaga Winner?,20937266,,,Kennesaw St.
Santa Clara,Santa Clara,2026-03-20T18:34:48Z,2026-03-20T18:34:50Z,4607771,10187305,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20SCUUK,Santa Clara at Kentucky,2026-03-20T20:00:00Z,,Santa Clara vs Kentucky,both_mm,Santa Clara vs Kentucky,Kentucky,Kentucky,0.01,7e4e77ea-d793-4736-a75c-c9950053afb8,game_winner,,,Santa Clara,9215542,2026-03-15T22:47:00Z,Kentucky,Kentucky,kalshi,no,,2026-03-20T18:39:51Z,closed,Santa Clara,Santa Clara,KXNCAAMBGAME-26MAR20SCUUK-SCU,Santa Clara at Kentucky Winner?,20374610,,,Santa Clara
Santa Clara,Santa Clara,2026-03-20T18:34:48Z,2026-03-20T18:34:50Z,5677189,12895147,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20SCUUK,Santa Clara at Kentucky,2026-03-20T20:00:00Z,,Santa Clara vs Kentucky,both_mm,Santa Clara vs Kentucky,Kentucky,Kentucky,0.99,b878901b-bfd7-4096-9955-e81a8e8ee2f8,game_winner,,,Kentucky,11354378,2026-03-15T22:47:00Z,Santa Clara,Santa Clara,kalshi,yes,,2026-03-20T18:39:51Z,closed,Kentucky,Kentucky,KXNCAAMBGAME-26MAR20SCUUK-UK,Santa Clara at Kentucky Winner?,25790294,,,Kentucky
Long Island,Long Island,2026-03-20T19:42:25Z,2026-03-20T19:42:27Z,1379568,1398020,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR20LIUARIZ,LIU at Arizona,2026-03-20T20:00:00Z,,Long Island vs Arizona,both_mm,Long Island vs Arizona,Arizona,Arizona,0.99,a34cefa8-2fbc-44cb-897d-8353b69d0df8,game_winner,,,Arizona,2759136,2026-03-15T22:47:00Z,Long Island,Long Island,kalshi,yes,,2026-03-20T19:47:31Z,closed,Arizona,Arizona,KXNCAAMBGAME-26MAR20LIUARIZ-ARIZ,LIU at Arizona Winner?,2796040,,,Arizona
